Warning this test is running in real-time and may be flaky.
FAIL - "webkitTransform.5" property for "box" element at 0.4s expected: 0 but saw: matrix(1, 0, 0, 1, 400, 100)

Log:
17.170999999962078 - runAnimationTest
19.709999999918182 - First webkitAnimationStart event fired
19.780999999966298 - Finished waiting for animations to start
401.9239999998945 - RAF callback, animation time: 382.1100000000115
403.05499999999483 - RAF callback, animation time: 383.2400000000007
404.19699999995373 - RAF callback, animation time: 384.3820000000733
405.3329999999278 - RAF callback, animation time: 385.5180000000473
406.46799999990435 - RAF callback, animation time: 386.65400000002137
407.61699999995926 - RAF callback, animation time: 387.8020000000788
408.7379999999712 - RAF callback, animation time: 388.9230000000907
409.87299999994775 - RAF callback, animation time: 390.0580000000673
411.00299999993695 - RAF callback, animation time: 391.18900000005397
412.1379999999135 - RAF callback, animation time: 392.32300000003306
413.29499999994823 - RAF callback, animation time: 393.48100000006525
414.44099999989703 - RAF callback, animation time: 394.6260000000166
415.5749999999898 - RAF callback, animation time: 395.76099999999315
416.7209999999386 - RAF callback, animation time: 396.90700000005563
417.86899999999605 - RAF callback, animation time: 398.0540000000019
419.01099999995495 - RAF callback, animation time: 399.1960000000745
420.1419999999416 - RAF callback, animation time: 400.32800000005864
420.1819999999543 - Running checks for time: 400, delay: 0.32800000005863694
420.3069999999798 - Checking expectation: [null,0.4,"box","webkitTransform.5",0,0]
422.2819999999956 - Ending test
